product_name,related_product,common_attributes
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "54154.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "17359.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "19224.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "59521.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "55956.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "48592.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "18779.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "25948.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "52307.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "50295.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "23462.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "59529.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "15949.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "59569.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "49751.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "47669.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "11157.jpg", 2
"Ray-Ban_Adults-Unisex_Unisex_Purple_Fashion_Winter_2016_Casual_Other_Sunglasses_NA_Long_Clear_NA_NA__1", "36362.jpg", 2
